CustomerKey,CustomerID,FirstName,LastName,Gender,Region
1,C0001,Gregory,Miller,Male,Ohio
2,C0002,Marvin,Unknown,Male,California
3,C0003,Gregory,Smith,Male,New York
4,C0004,Edward,Davis,Male,Ohio
5,C0005,Reginald,Dawson,Male,Texas
6,C0006,Virginia,Bryant,Female,Ohio
7,C0007,Benjamin,Shepherd,Male,Ohio
8,C0008,Robert,Pierce,Male,New York
9,C0009,Samuel,Mcconnell,Male,California
10,C0010,Jason,Unknown,Male,New York
11,C0011,Jason,Morales,Male,unknown
12,C0012,Charles,Unknown,Male,New York
13,C0013,Brandon,Unknown,Male,Ohio
14,C0014,Jeffery,Cabrera,Male,New York
15,C0015,William,Gonzalez,Male,New York
16,C0016,Joe,Barnett,Male,Ohio
17,C0017,Angela,Cantrell,Female,Texas
18,C0018,Mariah,Wilson,Female,New York
19,C0019,Michael,Unknown,Male,New York
20,C0020,Robert,Unknown,Male,New York
21,C0021,Rachel,Unknown,Female,New York
22,C0022,Timothy,Unknown,Male,Texas
23,C0023,Grant,Bartlett,Male,Ohio
24,C0024,Luis,Roberts,Male,New York
25,C0025,Jordan,Mercado,Male,Texas
26,C0026,Jesse,Wilkerson,Male,New York
27,C0027,Brandon,Smith,Male,New York
28,C0028,William,Smith,Male,California
29,C0029,Timothy,Unknown,Male,Ohio
30,C0030,Desiree,Washington,Female,Ohio
31,C0031,Steven,Morgan,Male,Ohio
32,C0032,Joshua,Carson,Male,New York
33,C0033,Joshua,Robinson,Male,New York
34,C0034,Paula,Hanson,Female,Ohio
35,C0035,Joshua,Sullivan,Male,Texas
36,C0036,Lori,Long,Female,California
37,C0037,Brett,Unknown,Male,unknown
38,C0038,Jose,Griffin,Male,California
39,C0039,John,Mendoza,Male,New York
40,C0040,Yvette,Wood,Female,Ohio
41,C0041,Michael,Stephens,Male,New York
42,C0042,Steven,Farley,Male,Texas
43,C0043,Rachel,Unknown,Female,New York
44,C0044,James,Robbins,Male,New York
45,C0045,Andrew,Hopkins,Male,New York
46,C0046,Dennis,Unknown,Male,California
47,C0047,Seth,Hess,Male,Texas
48,C0048,Frank,Ross,Male,Ohio
49,C0049,Jeffrey,Unknown,Male,Texas
50,C0050,Kimberly,Wright,Female,New York
51,C0051,David,Unknown,Male,unknown
52,C0052,Todd,Kelley,Male,New York
53,C0053,Ian,Schneider,Male,New York
54,C0054,Christopher,White,Male,California
55,C0055,Jonathan,Thomas,Male,New York
56,C0056,Sonia,Vaughn,Female,California
57,C0057,Brian,Price,Male,Ohio
58,C0058,Steven,Miller,Male,Texas
59,C0059,Eric,Hoffman,Male,California
60,C0060,Jonathan,Unknown,Male,New York
61,C0061,Gary,Nunez,Male,New York
62,C0062,Mark,Adams,Male,Texas
63,C0063,Latoya,Unknown,Female,Ohio
64,C0064,Jason,Unknown,Male,unknown
65,C0065,Anthony,Butler,Male,Ohio
66,C0066,Thomas,Kelly,Male,California
67,C0067,Eric,Morris,Male,New York
68,C0068,John,Unknown,Male,unknown
69,C0069,David,Hardy,Male,California
70,C0070,Kevin,Franklin,Male,New York
71,C0071,Charles,Warren,Male,Texas
72,C0072,Eric,Mora,Male,California
73,C0073,Vincent,Unknown,Male,New York
74,C0074,Roberto,Unknown,Male,New York
75,C0075,Troy,Garcia,Male,New York
76,C0076,James,Clark,Male,Texas
77,C0077,John,Johnson,Male,unknown
78,C0078,Caleb,Ramirez,Male,New York
79,C0079,Timothy,Unknown,Male,New York
80,C0080,Ian,Fowler,Male,unknown
81,C0081,Ryan,Pearson,Male,California
82,C0082,Samuel,Lopez,Male,Ohio
83,C0083,Antonio,Unknown,Male,Texas
84,C0084,Michael,Brooks,Male,Ohio
85,C0085,Lindsay,Roberts,Female,Ohio
86,C0086,Robert,Unknown,Male,Ohio
87,C0087,John,Unknown,Male,California
88,C0088,William,Unknown,Male,Ohio
89,C0089,Anthony,Lin,Male,New York
90,C0090,Jeremy,Williams,Male,New York
91,C0091,Anna,Unknown,Female,Texas
92,C0092,Antonio,Unknown,Male,Ohio
93,C0093,Samuel,Woods,Male,Ohio
94,C0094,Darren,Woods,Male,Texas
95,C0095,Paul,Reed,Male,Texas
96,C0096,Christina,Brown,Female,California
97,C0097,Anthony,Watts,Male,Texas
98,C0098,Cassandra,Jones,Female,New York
99,C0099,Corey,Valentine,Male,California
100,C0100,Vernon,Morrow,Male,Texas
101,C0101,Robert,Johnson,Male,Ohio
102,C0102,Dennis,Dominguez,Male,New York
103,C0103,Michael,Unknown,Male,California
104,C0104,Stanley,Martin,Male,New York
105,C0105,David,Vance,Male,New York
